Date,Open,High,Low,Close
2021-02-08,2054.3,2079.4,2041.15,2072.5
2021-03-08,2090,2091,2064.2,2087.75
2021-04-08,2094.4,2114,2087,2103.75
2021-05-08,2114.3,2154.8,2104.25,2134.25
2021-06-08,2129.95,2146.95,2078.75,2089.05
2021-09-08,2081,2089.8,2066.5,2077.15
2021-10-08,2082,2113,2073.75,2088.05
2021-11-08,2096.95,2120,2083.4,2117.3
2021-12-08,2124.9,2126.2,2105,2110.5
8/13/2021 15:30:00,2117.3,2149.9,2108.95,2145.65
8/16/2021 15:30:00,2149.35,2203,2128.15,2173.5
8/17/2021 15:30:00,2168.85,2185.2,2147.85,2164.25
8/18/2021 15:30:00,2174,2186.8,2152.6,2172.65
